date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1971-10-12T00:00:00,Tuesday,Chicago Bulls,100,Philadelphia 76ers,114,,,
1971-10-12T00:00:00,Tuesday,Buffalo Braves,90,Seattle SuperSonics,123,,,
1971-10-12T00:00:00,Tuesday,New York Knicks,84,Detroit Pistons,91,,,
1971-10-12T00:00:00,Tuesday,Cincinnati Royals,127,Atlanta Hawks,113,,,
1971-10-14T00:00:00,Thursday,Houston Rockets,94,Philadelphia 76ers,105,,,
1971-10-14T00:00:00,Thursday,Phoenix Suns,97,Milwaukee Bucks,110,,,
1971-10-15T00:00:00,Friday,Boston Celtics,75,Golden State Warriors,97,,,
1971-10-15T00:00:00,Friday,Chicago Bulls,106,Baltimore Bullets,82,,,
1971-10-15T00:00:00,Friday,Cleveland Cavaliers,109,Buffalo Braves,111,,OT,
1971-10-15T00:00:00,Friday,Detroit Pistons,103,Los Angeles Lakers,132,,,
1971-10-15T00:00:00,Friday,Portland Trail Blazers,88,Seattle SuperSonics,119,,,
1971-10-16T00:00:00,Saturday,Phoenix Suns,128,Houston Rockets,108,,,
1971-10-16T00:00:00,Saturday,New York Knicks,104,Los Angeles Lakers,119,,,
1971-10-16T00:00:00,Saturday,Seattle SuperSonics,91,Milwaukee Bucks,98,,,
1971-10-16T00:00:00,Saturday,Baltimore Bullets,108,Golden State Warriors,93,,,
1971-10-16T00:00:00,Saturday,Atlanta Hawks,102,Philadelphia 76ers,104,,,
1971-10-16T00:00:00,Saturday,Buffalo Braves,89,Cleveland Cavaliers,93,,,
1971-10-17T00:00:00,Sunday,Portland Trail Blazers,94,Milwaukee Bucks,127,,,
1971-10-17T00:00:00,Sunday,Detroit Pistons,112,Houston Rockets,99,,,"at San Antonio, TX"
1971-10-17T00:00:00,Sunday,Cleveland Cavaliers,120,New York Knicks,121,,OT,
1971-10-19T00:00:00,Tuesday,Boston Celtics,134,Baltimore Bullets,114,,,
1971-10-19T00:00:00,Tuesday,Portland Trail Blazers,99,Detroit Pistons,101,,,
1971-10-19T00:00:00,Tuesday,New York Knicks,93,Golden State Warriors,84,,,
1971-10-19T00:00:00,Tuesday,Cincinnati Royals,100,Seattle SuperSonics,101,,,
1971-10-19T00:00:00,Tuesday,Buffalo Braves,106,Los Angeles Lakers,123,,,
1971-10-19T00:00:00,Tuesday,Milwaukee Bucks,116,Cleveland Cavaliers,82,,,
1971-10-20T00:00:00,Wednesday,Cleveland Cavaliers,98,Golden State Warriors,115,,,
1971-10-20T00:00:00,Wednesday,Philadelphia 76ers,100,Seattle SuperSonics,93,,,
1971-10-20T00:00:00,Wednesday,Chicago Bulls,125,Houston Rockets,110,,,"at Waco, TX"
1971-10-20T00:00:00,Wednesday,Atlanta Hawks,104,Los Angeles Lakers,126,,,
1971-10-22T00:00:00,Friday,Phoenix Suns,109,Detroit Pistons,116,,,
1971-10-22T00:00:00,Friday,Seattle SuperSonics,110,Houston Rockets,91,,,
1971-10-22T00:00:00,Friday,Milwaukee Bucks,124,Buffalo Braves,105,,,
1971-10-22T00:00:00,Friday,Los Angeles Lakers,106,Chicago Bulls,113,,,
1971-10-22T00:00:00,Friday,Baltimore Bullets,87,New York Knicks,110,,,
1971-10-22T00:00:00,Friday,Atlanta Hawks,108,Boston Celtics,115,,,
1971-10-23T00:00:00,Saturday,Philadelphia 76ers,88,Milwaukee Bucks,110,,,
1971-10-23T00:00:00,Saturday,Portland Trail Blazers,104,Cincinnati Royals,100,,,
1971-10-23T00:00:00,Saturday,Buffalo Braves,98,Boston Celtics,103,,,
1971-10-23T00:00:00,Saturday,Golden State Warriors,115,Detroit Pistons,109,,OT,"at Oakland, CA"
1971-10-23T00:00:00,Saturday,Baltimore Bullets,101,Cleveland Cavaliers,109,,,"at College Park, MD"
1971-10-23T00:00:00,Saturday,New York Knicks,89,Atlanta Hawks,95,,,
1971-10-24T00:00:00,Sunday,Cleveland Cavaliers,93,Philadelphia 76ers,111,,,
1971-10-24T00:00:00,Sunday,Houston Rockets,103,Los Angeles Lakers,113,,,
1971-10-24T00:00:00,Sunday,Seattle SuperSonics,119,Cincinnati Royals,101,,,
