date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1963-10-16T00:00:00,Wednesday,Detroit Pistons,115,Philadelphia 76ers,117,,,
1963-10-16T00:00:00,Wednesday,St. Louis Hawks,93,Cincinnati Royals,112,,,
1963-10-16T00:00:00,Wednesday,Baltimore Bullets,95,Boston Celtics,109,,,
1963-10-17T00:00:00,Thursday,Cincinnati Royals,92,Boston Celtics,93,,,
1963-10-17T00:00:00,Thursday,New York Knicks,113,Baltimore Bullets,115,,,
1963-10-19T00:00:00,Saturday,Baltimore Bullets,102,San Francisco Warriors,103,,,
1963-10-19T00:00:00,Saturday,Cincinnati Royals,121,New York Knicks,97,,,
1963-10-19T00:00:00,Saturday,Philadelphia 76ers,121,Detroit Pistons,124,,,
1963-10-19T00:00:00,Saturday,St. Louis Hawks,117,Los Angeles Lakers,108,,,
1963-10-22T00:00:00,Tuesday,Cincinnati Royals,103,San Francisco Warriors,97,,,
1963-10-22T00:00:00,Tuesday,New York Knicks,117,Los Angeles Lakers,130,,,
1963-10-23T00:00:00,Wednesday,Detroit Pistons,116,Los Angeles Lakers,124,,,
1963-10-23T00:00:00,Wednesday,Baltimore Bullets,115,New York Knicks,106,,,
1963-10-23T00:00:00,Wednesday,St. Louis Hawks,95,San Francisco Warriors,99,,,
1963-10-25T00:00:00,Friday,Cincinnati Royals,109,Los Angeles Lakers,122,,,
1963-10-25T00:00:00,Friday,Philadelphia 76ers,112,New York Knicks,136,,,
1963-10-26T00:00:00,Saturday,Boston Celtics,123,Baltimore Bullets,108,,,
1963-10-26T00:00:00,Saturday,New York Knicks,109,Philadelphia 76ers,101,,,
1963-10-26T00:00:00,Saturday,San Francisco Warriors,102,Cincinnati Royals,99,,,
1963-10-26T00:00:00,Saturday,St. Louis Hawks,127,Detroit Pistons,103,,,
1963-10-27T00:00:00,Sunday,Baltimore Bullets,112,St. Louis Hawks,123,,,
1963-10-29T00:00:00,Tuesday,New York Knicks,103,St. Louis Hawks,109,,OT,
1963-10-29T00:00:00,Tuesday,San Francisco Warriors,101,Cincinnati Royals,108,,,
1963-10-30T00:00:00,Wednesday,Los Angeles Lakers,107,Cincinnati Royals,115,,,
1963-10-30T00:00:00,Wednesday,Baltimore Bullets,108,Philadelphia 76ers,111,,,
1963-10-30T00:00:00,Wednesday,Detroit Pistons,102,Boston Celtics,108,,,
1963-10-30T00:00:00,Wednesday,St. Louis Hawks,121,New York Knicks,104,,,
1963-11-01T00:00:00,Friday,Los Angeles Lakers,122,Cincinnati Royals,112,,,
1963-11-01T00:00:00,Friday,Philadelphia 76ers,102,Boston Celtics,119,,,
1963-11-02T00:00:00,Saturday,St. Louis Hawks,128,Philadelphia 76ers,99,,,
1963-11-02T00:00:00,Saturday,Boston Celtics,117,Detroit Pistons,109,,,
1963-11-02T00:00:00,Saturday,New York Knicks,123,Baltimore Bullets,105,,,
1963-11-02T00:00:00,Saturday,San Francisco Warriors,118,Los Angeles Lakers,99,,,
1963-11-03T00:00:00,Sunday,Cincinnati Royals,95,Philadelphia 76ers,93,,,"at Dayton, OH"
1963-11-06T00:00:00,Wednesday,Boston Celtics,139,Cincinnati Royals,121,,,
1963-11-06T00:00:00,Wednesday,Los Angeles Lakers,111,New York Knicks,109,,,
1963-11-06T00:00:00,Wednesday,Detroit Pistons,119,Philadelphia 76ers,101,,,
1963-11-06T00:00:00,Wednesday,Baltimore Bullets,110,St. Louis Hawks,112,,,
1963-11-07T00:00:00,Thursday,San Francisco Warriors,110,New York Knicks,88,,,
1963-11-08T00:00:00,Friday,Cincinnati Royals,116,Boston Celtics,115,,,
1963-11-08T00:00:00,Friday,Los Angeles Lakers,93,San Francisco Warriors,90,,,
1963-11-08T00:00:00,Friday,Philadelphia 76ers,108,St. Louis Hawks,106,,,
1963-11-09T00:00:00,Saturday,St. Louis Hawks,91,Boston Celtics,113,,,
1963-11-09T00:00:00,Saturday,Baltimore Bullets,116,Philadelphia 76ers,100,,,
1963-11-09T00:00:00,Saturday,San Francisco Warriors,84,New York Knicks,89,,,"at Oakland, CA"
1963-11-09T00:00:00,Saturday,Cincinnati Royals,118,Detroit Pistons,109,,,
1963-11-10T00:00:00,Sunday,Los Angeles Lakers,104,New York Knicks,79,,,
1963-11-11T00:00:00,Monday,Boston Celtics,116,St. Louis Hawks,110,,,
1963-11-11T00:00:00,Monday,Detroit Pistons,116,Los Angeles Lakers,109,,,"at Minneapolis, MN"
1963-11-12T00:00:00,Tuesday,Philadelphia 76ers,106,San Francisco Warriors,102,,OT,
1963-11-13T00:00:00,Wednesday,Boston Celtics,114,Los Angeles Lakers,110,,,"at New York, NY"
1963-11-13T00:00:00,Wednesday,Cincinnati Royals,92,San Francisco Warriors,98,,,
1963-11-13T00:00:00,Wednesday,New York Knicks,106,St. Louis Hawks,102,,,
1963-11-14T00:00:00,Thursday,Baltimore Bullets,115,Los Angeles Lakers,123,,,
1963-11-14T00:00:00,Thursday,St. Louis Hawks,117,San Francisco Warriors,105,,,
1963-11-15T00:00:00,Friday,Philadelphia 76ers,99,Los Angeles Lakers,97,,,
1963-11-15T00:00:00,Friday,Boston Celtics,133,New York Knicks,116,,,
1963-11-15T00:00:00,Friday,San Francisco Warriors,98,Detroit Pistons,101,,,
1963-11-16T00:00:00,Saturday,Los Angeles Lakers,115,Detroit Pistons,95,,,
1963-11-16T00:00:00,Saturday,St. Louis Hawks,115,Baltimore Bullets,112,,,
1963-11-16T00:00:00,Saturday,New York Knicks,122,Cincinnati Royals,114,,,
1963-11-17T00:00:00,Sunday,Los Angeles Lakers,112,St. Louis Hawks,117,,,
1963-11-17T00:00:00,Sunday,Cincinnati Royals,110,Baltimore Bullets,109,,,
1963-11-17T00:00:00,Sunday,San Francisco Warriors,120,Detroit Pistons,96,,,
1963-11-19T00:00:00,Tuesday,Cincinnati Royals,127,Detroit Pistons,102,,,"at New York, NY"
1963-11-19T00:00:00,Tuesday,San Francisco Warriors,129,St. Louis Hawks,96,,,
1963-11-19T00:00:00,Tuesday,New York Knicks,98,Boston Celtics,126,,,
1963-11-20T00:00:00,Wednesday,Detroit Pistons,124,Cincinnati Royals,118,,,
1963-11-20T00:00:00,Wednesday,Philadelphia 76ers,118,New York Knicks,101,,,
1963-11-21T00:00:00,Thursday,Los Angeles Lakers,111,St. Louis Hawks,99,,,
1963-11-23T00:00:00,Saturday,St. Louis Hawks,133,Cincinnati Royals,121,,,
1963-11-23T00:00:00,Saturday,New York Knicks,108,Detroit Pistons,99,,,
1963-11-24T00:00:00,Sunday,Cincinnati Royals,122,St. Louis Hawks,113,,,
1963-11-26T00:00:00,Tuesday,Cincinnati Royals,123,San Francisco Warriors,112,,,"at New York, NY"
1963-11-26T00:00:00,Tuesday,New York Knicks,112,Los Angeles Lakers,119,,,
1963-11-26T00:00:00,Tuesday,Philadelphia 76ers,115,Baltimore Bullets,113,,,
1963-11-27T00:00:00,Wednesday,Baltimore Bullets,119,Cincinnati Royals,122,,,
1963-11-27T00:00:00,Wednesday,Boston Celtics,114,Los Angeles Lakers,78,,,
1963-11-27T00:00:00,Wednesday,Detroit Pistons,105,St. Louis Hawks,113,,,
1963-11-27T00:00:00,Wednesday,New York Knicks,89,San Francisco Warriors,118,,,"at Boston, MA"
1963-11-28T00:00:00,Thursday,St. Louis Hawks,118,Detroit Pistons,101,,,
1963-11-28T00:00:00,Thursday,Philadelphia 76ers,110,Cincinnati Royals,125,,,
1963-11-29T00:00:00,Friday,Cincinnati Royals,135,New York Knicks,110,,,
1963-11-29T00:00:00,Friday,Boston Celtics,112,Philadelphia 76ers,78,,,"at Providence, RI"
1963-11-29T00:00:00,Friday,Baltimore Bullets,100,San Francisco Warriors,99,,,
1963-11-29T00:00:00,Friday,Detroit Pistons,111,Los Angeles Lakers,127,,,
1963-11-30T00:00:00,Saturday,Baltimore Bullets,120,Detroit Pistons,101,,,"at New York, NY"
1963-11-30T00:00:00,Saturday,New York Knicks,125,Philadelphia 76ers,132,,,
1963-11-30T00:00:00,Saturday,Boston Celtics,109,San Francisco Warriors,96,,,
1963-11-30T00:00:00,Saturday,St. Louis Hawks,96,Los Angeles Lakers,97,,,
1963-12-01T00:00:00,Sunday,Detroit Pistons,121,Philadelphia 76ers,132,,,"at Cleveland, OH"
1963-12-01T00:00:00,Sunday,Cincinnati Royals,109,Los Angeles Lakers,114,,,
1963-12-03T00:00:00,Tuesday,New York Knicks,108,San Francisco Warriors,116,,,
1963-12-04T00:00:00,Wednesday,St. Louis Hawks,105,San Francisco Warriors,83,,,
1963-12-04T00:00:00,Wednesday,Detroit Pistons,119,New York Knicks,120,,,
1963-12-04T00:00:00,Wednesday,Baltimore Bullets,118,Los Angeles Lakers,98,,,
1963-12-05T00:00:00,Thursday,Cincinnati Royals,118,Boston Celtics,108,,,
1963-12-05T00:00:00,Thursday,Philadelphia 76ers,103,St. Louis Hawks,106,,,
1963-12-06T00:00:00,Friday,San Francisco Warriors,103,Los Angeles Lakers,110,,,
1963-12-06T00:00:00,Friday,Detroit Pistons,112,St. Louis Hawks,108,,OT,
1963-12-06T00:00:00,Friday,Boston Celtics,112,Cincinnati Royals,107,,,
1963-12-06T00:00:00,Friday,Baltimore Bullets,116,New York Knicks,102,,,"at Boston, MA"
1963-12-07T00:00:00,Saturday,St. Louis Hawks,129,Philadelphia 76ers,120,,,
1963-12-07T00:00:00,Saturday,New York Knicks,105,Cincinnati Royals,116,,,
1963-12-07T00:00:00,Saturday,Baltimore Bullets,97,Boston Celtics,114,,,
1963-12-08T00:00:00,Sunday,Los Angeles Lakers,112,San Francisco Warriors,114,,,
1963-12-08T00:00:00,Sunday,Cincinnati Royals,116,Philadelphia 76ers,126,,,
1963-12-09T00:00:00,Monday,Baltimore Bullets,120,Los Angeles Lakers,134,,,"at Seattle, WA"
1963-12-10T00:00:00,Tuesday,New York Knicks,113,Boston Celtics,132,,,
1963-12-10T00:00:00,Tuesday,Philadelphia 76ers,103,St. Louis Hawks,113,,,"at New York, NY"
1963-12-10T00:00:00,Tuesday,San Francisco Warriors,117,Baltimore Bullets,108,,,"at Oakland, CA"
1963-12-11T00:00:00,Wednesday,Philadelphia 76ers,113,New York Knicks,103,,,
1963-12-11T00:00:00,Wednesday,Detroit Pistons,107,Cincinnati Royals,127,,,
1963-12-11T00:00:00,Wednesday,Boston Celtics,104,St. Louis Hawks,95,,,
1963-12-12T00:00:00,Thursday,Cincinnati Royals,112,New York Knicks,102,,,
1963-12-12T00:00:00,Thursday,Los Angeles Lakers,120,Baltimore Bullets,105,,,
1963-12-13T00:00:00,Friday,Philadelphia 76ers,84,Boston Celtics,111,,,
1963-12-13T00:00:00,Friday,San Francisco Warriors,114,Baltimore Bullets,116,,OT,
1963-12-14T00:00:00,Saturday,Boston Celtics,105,Cincinnati Royals,108,,,
1963-12-14T00:00:00,Saturday,St. Louis Hawks,104,Detroit Pistons,92,,,
1963-12-14T00:00:00,Saturday,Los Angeles Lakers,113,Baltimore Bullets,108,,,
1963-12-14T00:00:00,Saturday,New York Knicks,119,Philadelphia 76ers,123,,,
1963-12-15T00:00:00,Sunday,Los Angeles Lakers,95,St. Louis Hawks,102,,,
1963-12-15T00:00:00,Sunday,San Francisco Warriors,122,Baltimore Bullets,97,,,
1963-12-17T00:00:00,Tuesday,San Francisco Warriors,110,St. Louis Hawks,106,,,
1963-12-17T00:00:00,Tuesday,New York Knicks,103,Detroit Pistons,107,,,
1963-12-17T00:00:00,Tuesday,Baltimore Bullets,114,Boston Celtics,131,,,"at New York, NY"
1963-12-18T00:00:00,Wednesday,Los Angeles Lakers,116,Philadelphia 76ers,96,,,
1963-12-18T00:00:00,Wednesday,Detroit Pistons,107,Baltimore Bullets,124,,,
1963-12-18T00:00:00,Wednesday,Boston Celtics,133,New York Knicks,111,,,
1963-12-18T00:00:00,Wednesday,San Francisco Warriors,104,St. Louis Hawks,96,,,"at Sacramento, CA"
1963-12-19T00:00:00,Thursday,Boston Celtics,143,New York Knicks,140,,,"at Providence, RI"
1963-12-20T00:00:00,Friday,Cincinnati Royals,103,Baltimore Bullets,96,,,
1963-12-20T00:00:00,Friday,San Francisco Warriors,112,Philadelphia 76ers,114,,,
1963-12-21T00:00:00,Saturday,Baltimore Bullets,108,Cincinnati Royals,106,,,
1963-12-21T00:00:00,Saturday,Los Angeles Lakers,126,Philadelphia 76ers,113,,,
1963-12-21T00:00:00,Saturday,New York Knicks,127,Boston Celtics,117,,,
1963-12-21T00:00:00,Saturday,Detroit Pistons,91,St. Louis Hawks,100,,,
1963-12-22T00:00:00,Sunday,St. Louis Hawks,116,Baltimore Bullets,104,,,
1963-12-22T00:00:00,Sunday,San Francisco Warriors,118,Philadelphia 76ers,104,,,
1963-12-25T00:00:00,Wednesday,New York Knicks,126,Los Angeles Lakers,134,,,
1963-12-25T00:00:00,Wednesday,Cincinnati Royals,113,St. Louis Hawks,107,,,
1963-12-26T00:00:00,Thursday,St. Louis Hawks,107,New York Knicks,111,,,
1963-12-26T00:00:00,Thursday,Philadelphia 76ers,118,San Francisco Warriors,112,,,
1963-12-26T00:00:00,Thursday,Boston Celtics,126,Los Angeles Lakers,110,,,
1963-12-26T00:00:00,Thursday,Baltimore Bullets,110,Detroit Pistons,108,,,
1963-12-27T00:00:00,Friday,Detroit Pistons,107,Philadelphia 76ers,119,,,"at Hershey, PA"
1963-12-27T00:00:00,Friday,Cincinnati Royals,91,Boston Celtics,87,,,
1963-12-28T00:00:00,Saturday,Baltimore Bullets,104,San Francisco Warriors,106,,,
1963-12-28T00:00:00,Saturday,Philadelphia 76ers,114,Los Angeles Lakers,100,,,
1963-12-28T00:00:00,Saturday,St. Louis Hawks,100,Boston Celtics,107,,,
1963-12-29T00:00:00,Sunday,Detroit Pistons,128,Los Angeles Lakers,140,,,"at Fort Wayne, IN"
1963-12-29T00:00:00,Sunday,Cincinnati Royals,105,New York Knicks,99,,,
1963-12-30T00:00:00,Monday,Detroit Pistons,114,San Francisco Warriors,112,,OT,"at Toledo, OH"
1963-12-31T00:00:00,Tuesday,New York Knicks,79,San Francisco Warriors,101,,,
1963-12-31T00:00:00,Tuesday,Los Angeles Lakers,132,St. Louis Hawks,119,,,
1964-01-02T00:00:00,Thursday,Baltimore Bullets,124,New York Knicks,109,,,
1964-01-02T00:00:00,Thursday,Cincinnati Royals,112,Detroit Pistons,111,,,"at Dayton, OH"
1964-01-02T00:00:00,Thursday,San Francisco Warriors,106,St. Louis Hawks,111,,,"at Oakland, CA"
1964-01-03T00:00:00,Friday,Baltimore Bullets,118,New York Knicks,120,,,"at Philadelphia, PA"
1964-01-03T00:00:00,Friday,Philadelphia 76ers,132,Cincinnati Royals,110,,,
1964-01-03T00:00:00,Friday,San Francisco Warriors,101,Boston Celtics,111,,,
1964-01-04T00:00:00,Saturday,Baltimore Bullets,113,Philadelphia 76ers,123,,,
1964-01-04T00:00:00,Saturday,New York Knicks,116,Cincinnati Royals,125,,,
1964-01-04T00:00:00,Saturday,Los Angeles Lakers,125,Boston Celtics,118,,OT,
1964-01-05T00:00:00,Sunday,St. Louis Hawks,116,Detroit Pistons,99,,,
1964-01-05T00:00:00,Sunday,Philadelphia 76ers,118,New York Knicks,142,,,
1964-01-05T00:00:00,Sunday,Cincinnati Royals,111,Baltimore Bullets,106,,,
1964-01-05T00:00:00,Sunday,Los Angeles Lakers,97,Boston Celtics,95,,,
1964-01-07T00:00:00,Tuesday,St. Louis Hawks,123,Baltimore Bullets,113,,,
1964-01-07T00:00:00,Tuesday,Cincinnati Royals,130,Philadelphia 76ers,110,,,"at Columbus, OH"
1964-01-07T00:00:00,Tuesday,San Francisco Warriors,92,Boston Celtics,89,,,
1964-01-08T00:00:00,Wednesday,Cincinnati Royals,126,Philadelphia 76ers,110,,,"at Syracuse, NY"
1964-01-08T00:00:00,Wednesday,Detroit Pistons,99,Baltimore Bullets,106,,,
1964-01-08T00:00:00,Wednesday,Los Angeles Lakers,136,New York Knicks,118,,,
1964-01-09T00:00:00,Thursday,Philadelphia 76ers,122,St. Louis Hawks,115,,,
1964-01-09T00:00:00,Thursday,Baltimore Bullets,115,Detroit Pistons,125,,,"at Cleveland, OH"
1964-01-09T00:00:00,Thursday,San Francisco Warriors,112,New York Knicks,97,,,"at Richmond, CA"
1964-01-10T00:00:00,Friday,San Francisco Warriors,114,Los Angeles Lakers,89,,,
1964-01-10T00:00:00,Friday,Boston Celtics,109,Cincinnati Royals,92,,,
1964-01-11T00:00:00,Saturday,Detroit Pistons,107,St. Louis Hawks,112,,,
1964-01-11T00:00:00,Saturday,Los Angeles Lakers,108,New York Knicks,118,,,"at San Diego, CA"
1964-01-11T00:00:00,Saturday,Philadelphia 76ers,115,Boston Celtics,108,,,
1964-01-12T00:00:00,Sunday,San Francisco Warriors,112,New York Knicks,105,,,"at Oakland, CA"
1964-01-12T00:00:00,Sunday,Cincinnati Royals,120,Detroit Pistons,88,,,
1964-01-12T00:00:00,Sunday,St. Louis Hawks,113,Baltimore Bullets,117,,,
1964-01-12T00:00:00,Sunday,Boston Celtics,123,Philadelphia 76ers,112,,,
1964-01-15T00:00:00,Wednesday,Detroit Pistons,79,San Francisco Warriors,89,,,
1964-01-15T00:00:00,Wednesday,St. Louis Hawks,109,Los Angeles Lakers,111,,,
1964-01-15T00:00:00,Wednesday,Baltimore Bullets,108,Boston Celtics,113,,,
1964-01-16T00:00:00,Thursday,Detroit Pistons,116,New York Knicks,124,,,"at Cincinnati, OH"
1964-01-16T00:00:00,Thursday,Cincinnati Royals,108,Los Angeles Lakers,95,,,
1964-01-17T00:00:00,Friday,Philadelphia 76ers,91,San Francisco Warriors,112,,,
1964-01-17T00:00:00,Friday,Detroit Pistons,101,New York Knicks,99,,,"at Boston, MA"
1964-01-17T00:00:00,Friday,Boston Celtics,99,Los Angeles Lakers,79,,,
1964-01-18T00:00:00,Saturday,Cincinnati Royals,120,St. Louis Hawks,121,,,
1964-01-18T00:00:00,Saturday,Detroit Pistons,115,Boston Celtics,121,,,
1964-01-18T00:00:00,Saturday,Los Angeles Lakers,115,Philadelphia 76ers,111,,,"at Syracuse, NY"
1964-01-18T00:00:00,Saturday,Baltimore Bullets,93,San Francisco Warriors,86,,,
1964-01-19T00:00:00,Sunday,St. Louis Hawks,114,Cincinnati Royals,109,,,
1964-01-19T00:00:00,Sunday,Boston Celtics,108,San Francisco Warriors,105,,,
1964-01-19T00:00:00,Sunday,Baltimore Bullets,107,New York Knicks,109,,,
1964-01-20T00:00:00,Monday,Los Angeles Lakers,107,Detroit Pistons,118,,,
1964-01-21T00:00:00,Tuesday,Baltimore Bullets,124,Philadelphia 76ers,121,,,"at New York, NY"
1964-01-21T00:00:00,Tuesday,New York Knicks,124,Cincinnati Royals,139,,,
1964-01-21T00:00:00,Tuesday,San Francisco Warriors,100,Detroit Pistons,88,,,
1964-01-21T00:00:00,Tuesday,St. Louis Hawks,116,Boston Celtics,114,,,
1964-01-22T00:00:00,Wednesday,Baltimore Bullets,124,Philadelphia 76ers,116,,,
1964-01-22T00:00:00,Wednesday,Cincinnati Royals,109,Boston Celtics,92,,,
1964-01-22T00:00:00,Wednesday,Los Angeles Lakers,110,Detroit Pistons,101,,,
1964-01-23T00:00:00,Thursday,Boston Celtics,110,St. Louis Hawks,104,,,"at Providence, RI"
1964-01-23T00:00:00,Thursday,Baltimore Bullets,130,New York Knicks,114,,,
1964-01-23T00:00:00,Thursday,San Francisco Warriors,125,Detroit Pistons,93,,,
1964-01-24T00:00:00,Friday,Philadelphia 76ers,134,Cincinnati Royals,111,,,
1964-01-24T00:00:00,Friday,Los Angeles Lakers,118,San Francisco Warriors,100,,,
1964-01-24T00:00:00,Friday,Boston Celtics,119,St. Louis Hawks,99,,,
1964-01-25T00:00:00,Saturday,New York Knicks,129,Philadelphia 76ers,131,,,
1964-01-25T00:00:00,Saturday,San Francisco Warriors,120,Los Angeles Lakers,95,,,
1964-01-25T00:00:00,Saturday,Detroit Pistons,98,St. Louis Hawks,107,,,
1964-01-25T00:00:00,Saturday,Baltimore Bullets,115,Cincinnati Royals,99,,,
1964-01-26T00:00:00,Sunday,St. Louis Hawks,106,Detroit Pistons,104,,,
1964-01-26T00:00:00,Sunday,Boston Celtics,115,New York Knicks,102,,,
1964-01-26T00:00:00,Sunday,Los Angeles Lakers,108,San Francisco Warriors,96,,,
1964-01-26T00:00:00,Sunday,Philadelphia 76ers,120,Baltimore Bullets,131,,,
1964-01-28T00:00:00,Tuesday,New York Knicks,133,Boston Celtics,127,,,
1964-01-28T00:00:00,Tuesday,Detroit Pistons,93,Los Angeles Lakers,92,,,
