date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1966-10-15T00:00:00,Saturday,Boston Celtics,121,San Francisco Warriors,113,,,
1966-10-15T00:00:00,Saturday,Baltimore Bullets,115,Los Angeles Lakers,126,,,
1966-10-15T00:00:00,Saturday,St. Louis Hawks,97,Chicago Bulls,104,,,
1966-10-15T00:00:00,Saturday,Philadelphia 76ers,128,New York Knicks,112,,,
1966-10-15T00:00:00,Saturday,Cincinnati Royals,103,Detroit Pistons,99,,,
1966-10-18T00:00:00,Tuesday,Chicago Bulls,119,San Francisco Warriors,116,,,
1966-10-18T00:00:00,Tuesday,Detroit Pistons,114,Cincinnati Royals,112,,,
1966-10-18T00:00:00,Tuesday,New York Knicks,122,Los Angeles Lakers,119,,,
1966-10-19T00:00:00,Wednesday,Chicago Bulls,134,Los Angeles Lakers,124,,,
1966-10-19T00:00:00,Wednesday,Baltimore Bullets,109,New York Knicks,131,,,
1966-10-20T00:00:00,Thursday,Chicago Bulls,111,San Francisco Warriors,121,,,"at San Jose, CA"
1966-10-20T00:00:00,Thursday,Detroit Pistons,105,St. Louis Hawks,113,,,
1966-10-21T00:00:00,Friday,Boston Celtics,111,Baltimore Bullets,91,,,
1966-10-21T00:00:00,Friday,Los Angeles Lakers,101,Chicago Bulls,108,,,
1966-10-21T00:00:00,Friday,Philadelphia 76ers,119,St. Louis Hawks,110,,,
1966-10-21T00:00:00,Friday,San Francisco Warriors,136,Detroit Pistons,119,,,
1966-10-22T00:00:00,Saturday,New York Knicks,97,Boston Celtics,126,,,
1966-10-22T00:00:00,Saturday,Baltimore Bullets,112,Philadelphia 76ers,141,,,
1966-10-22T00:00:00,Saturday,St. Louis Hawks,133,Cincinnati Royals,123,,OT,
1966-10-23T00:00:00,Sunday,Chicago Bulls,105,New York Knicks,124,,,
1966-10-23T00:00:00,Sunday,Detroit Pistons,119,San Francisco Warriors,110,,,"at Seattle, WA"
1966-10-25T00:00:00,Tuesday,Philadelphia 76ers,130,Baltimore Bullets,110,,,
1966-10-26T00:00:00,Wednesday,Baltimore Bullets,122,Cincinnati Royals,116,,,
1966-10-26T00:00:00,Wednesday,Los Angeles Lakers,122,New York Knicks,133,,,
1966-10-27T00:00:00,Thursday,Boston Celtics,123,Chicago Bulls,100,,,"at Providence, RI"
1966-10-27T00:00:00,Thursday,Cincinnati Royals,121,St. Louis Hawks,118,,,
1966-10-28T00:00:00,Friday,Chicago Bulls,117,Detroit Pistons,129,,,"at Fort Wayne, IN"
1966-10-28T00:00:00,Friday,Baltimore Bullets,104,San Francisco Warriors,105,,,
1966-10-28T00:00:00,Friday,Los Angeles Lakers,124,New York Knicks,114,,,
1966-10-29T00:00:00,Saturday,Cincinnati Royals,115,San Francisco Warriors,127,,,
1966-10-29T00:00:00,Saturday,Detroit Pistons,103,Baltimore Bullets,97,,,
1966-10-29T00:00:00,Saturday,Philadelphia 76ers,138,Boston Celtics,96,,,
