date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2003-10-28T19:00:00,Tuesday,Philadelphia 76ers,89,Miami Heat,74,18295,,
2003-10-28T20:00:00,Tuesday,San Antonio Spurs,83,Phoenix Suns,82,18295,,
2003-10-28T22:30:00,Tuesday,Los Angeles Lakers,109,Dallas Mavericks,93,18295,,
2003-10-29T19:00:00,Wednesday,Boston Celtics,98,Miami Heat,75,18295,,
2003-10-29T20:00:00,Wednesday,New Orleans Hornets,88,Atlanta Hawks,83,18295,OT,
2003-10-29T20:00:00,Wednesday,Minnesota Timberwolves,95,Milwaukee Bucks,89,18295,,
2003-10-29T20:00:00,Wednesday,New York Knicks,83,Orlando Magic,85,18295,OT,
2003-10-29T20:00:00,Wednesday,Detroit Pistons,87,Indiana Pacers,89,18295,,
2003-10-29T20:00:00,Wednesday,Toronto Raptors,90,New Jersey Nets,87,18295,,
2003-10-29T20:30:00,Wednesday,Chicago Bulls,74,Washington Wizards,99,18295,,
2003-10-29T21:00:00,Wednesday,Utah Jazz,99,Portland Trail Blazers,92,18295,,
2003-10-29T21:00:00,Wednesday,Denver Nuggets,80,San Antonio Spurs,72,18295,,
2003-10-29T22:30:00,Wednesday,Sacramento Kings,106,Cleveland Cavaliers,92,18295,,
2003-10-29T22:30:00,Wednesday,Golden State Warriors,87,Dallas Mavericks,95,18295,,
2003-10-30T05:30:00,Thursday,Seattle SuperSonics,109,Los Angeles Clippers,100,18295,,"at Saitama, Japan"
2003-10-30T19:00:00,Thursday,Orlando Magic,98,New Orleans Hornets,100,18295,,
2003-10-30T20:00:00,Thursday,Houston Rockets,102,Denver Nuggets,85,18295,,
2003-10-30T22:30:00,Thursday,Phoenix Suns,95,Cleveland Cavaliers,86,18295,,
2003-10-31T19:00:00,Friday,Toronto Raptors,82,Washington Wizards,79,18295,,
2003-10-31T19:30:00,Friday,Indiana Pacers,79,Milwaukee Bucks,93,18295,,
2003-10-31T19:30:00,Friday,Miami Heat,81,Detroit Pistons,93,18295,,
2003-10-31T20:00:00,Friday,Memphis Grizzlies,91,Boston Celtics,93,18295,,
