date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1965-10-15T00:00:00,Friday,San Francisco Warriors,115,Los Angeles Lakers,122,,,
1965-10-15T00:00:00,Friday,Cincinnati Royals,100,St. Louis Hawks,111,,,
1965-10-16T00:00:00,Saturday,Baltimore Bullets,101,Philadelphia 76ers,133,,,
1965-10-16T00:00:00,Saturday,Boston Celtics,102,Cincinnati Royals,98,,,
1965-10-16T00:00:00,Saturday,New York Knicks,111,Detroit Pistons,103,,,
1965-10-16T00:00:00,Saturday,St. Louis Hawks,94,Los Angeles Lakers,106,,,
1965-10-17T00:00:00,Sunday,Cincinnati Royals,144,Baltimore Bullets,124,,,
1965-10-19T00:00:00,Tuesday,Cincinnati Royals,99,San Francisco Warriors,100,,,
1965-10-20T00:00:00,Wednesday,Detroit Pistons,116,New York Knicks,103,,,
1965-10-20T00:00:00,Wednesday,Boston Celtics,100,Los Angeles Lakers,96,,,
1965-10-20T00:00:00,Wednesday,Baltimore Bullets,119,St. Louis Hawks,99,,,
1965-10-23T00:00:00,Saturday,St. Louis Hawks,120,Boston Celtics,110,,,
1965-10-23T00:00:00,Saturday,Philadelphia 76ers,120,Detroit Pistons,103,,,
1965-10-23T00:00:00,Saturday,New York Knicks,106,Los Angeles Lakers,101,,,
1965-10-23T00:00:00,Saturday,Baltimore Bullets,108,San Francisco Warriors,123,,,
1965-10-26T00:00:00,Tuesday,Detroit Pistons,98,Baltimore Bullets,117,,,
1965-10-26T00:00:00,Tuesday,Los Angeles Lakers,104,New York Knicks,102,,,
1965-10-27T00:00:00,Wednesday,Baltimore Bullets,107,Detroit Pistons,108,,,
1965-10-28T00:00:00,Thursday,Los Angeles Lakers,140,New York Knicks,116,,,
1965-10-28T00:00:00,Thursday,Cincinnati Royals,113,Boston Celtics,108,,,
1965-10-29T00:00:00,Friday,Baltimore Bullets,121,Cincinnati Royals,131,,,
1965-10-29T00:00:00,Friday,Detroit Pistons,108,Boston Celtics,106,,,
1965-10-29T00:00:00,Friday,San Francisco Warriors,110,New York Knicks,100,,,
1965-10-30T00:00:00,Saturday,Los Angeles Lakers,122,San Francisco Warriors,124,,,
1965-10-30T00:00:00,Saturday,Philadelphia 76ers,134,Cincinnati Royals,114,,,
1965-10-30T00:00:00,Saturday,St. Louis Hawks,122,Detroit Pistons,95,,,
1965-10-31T00:00:00,Sunday,Cincinnati Royals,113,Detroit Pistons,107,,,
1965-10-31T00:00:00,Sunday,San Francisco Warriors,103,New York Knicks,104,,,
1965-10-31T00:00:00,Sunday,Boston Celtics,105,Baltimore Bullets,100,,,
1965-11-03T00:00:00,Wednesday,Baltimore Bullets,129,New York Knicks,114,,,
1965-11-03T00:00:00,Wednesday,Detroit Pistons,110,Philadelphia 76ers,100,,,
1965-11-03T00:00:00,Wednesday,Cincinnati Royals,122,San Francisco Warriors,108,,,
1965-11-03T00:00:00,Wednesday,Los Angeles Lakers,120,St. Louis Hawks,116,,,
1965-11-04T00:00:00,Thursday,Philadelphia 76ers,119,San Francisco Warriors,121,,,"at New York, NY"
1965-11-04T00:00:00,Thursday,New York Knicks,108,Baltimore Bullets,107,,,
1965-11-05T00:00:00,Friday,Los Angeles Lakers,118,St. Louis Hawks,116,,,
1965-11-05T00:00:00,Friday,Philadelphia 76ers,133,San Francisco Warriors,115,,,
1965-11-05T00:00:00,Friday,Detroit Pistons,114,Cincinnati Royals,120,,,
1965-11-05T00:00:00,Friday,Baltimore Bullets,118,Boston Celtics,129,,,
1965-11-06T00:00:00,Saturday,New York Knicks,103,Cincinnati Royals,114,,,
1965-11-06T00:00:00,Saturday,St. Louis Hawks,131,Los Angeles Lakers,101,,,
1965-11-06T00:00:00,Saturday,San Francisco Warriors,110,Detroit Pistons,100,,,
1965-11-06T00:00:00,Saturday,Boston Celtics,101,Philadelphia 76ers,91,,,
1965-11-07T00:00:00,Sunday,Baltimore Bullets,137,Los Angeles Lakers,116,,,
1965-11-09T00:00:00,Tuesday,Baltimore Bullets,116,Boston Celtics,130,,,"at Providence, RI"
1965-11-09T00:00:00,Tuesday,San Francisco Warriors,107,Detroit Pistons,102,,,
1965-11-09T00:00:00,Tuesday,Philadelphia 76ers,118,Los Angeles Lakers,110,,,
1965-11-10T00:00:00,Wednesday,Cincinnati Royals,124,New York Knicks,119,,,
1965-11-10T00:00:00,Wednesday,Los Angeles Lakers,133,Detroit Pistons,125,,,
1965-11-10T00:00:00,Wednesday,Baltimore Bullets,124,St. Louis Hawks,117,,,
1965-11-11T00:00:00,Thursday,Philadelphia 76ers,109,San Francisco Warriors,101,,,"at Boston, MA"
1965-11-11T00:00:00,Thursday,Boston Celtics,87,St. Louis Hawks,83,,,
1965-11-12T00:00:00,Friday,Detroit Pistons,102,San Francisco Warriors,103,,,
1965-11-12T00:00:00,Friday,Los Angeles Lakers,107,New York Knicks,106,,,"at Minneapolis, MN"
1965-11-12T00:00:00,Friday,Philadelphia 76ers,123,Boston Celtics,114,,,
1965-11-13T00:00:00,Saturday,St. Louis Hawks,138,San Francisco Warriors,113,,,
1965-11-13T00:00:00,Saturday,Boston Celtics,122,Detroit Pistons,93,,,
1965-11-13T00:00:00,Saturday,Cincinnati Royals,135,Baltimore Bullets,132,,,
1965-11-13T00:00:00,Saturday,New York Knicks,119,Philadelphia 76ers,127,,,
1965-11-14T00:00:00,Sunday,Los Angeles Lakers,129,Baltimore Bullets,114,,,
1965-11-15T00:00:00,Monday,Baltimore Bullets,112,San Francisco Warriors,123,,,"at San Jose, CA"
1965-11-16T00:00:00,Tuesday,San Francisco Warriors,105,Boston Celtics,108,,,
1965-11-16T00:00:00,Tuesday,New York Knicks,120,Detroit Pistons,95,,,
1965-11-16T00:00:00,Tuesday,Philadelphia 76ers,107,St. Louis Hawks,98,,,"at New York, NY"
1965-11-17T00:00:00,Wednesday,Cincinnati Royals,131,Philadelphia 76ers,115,,,
