date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1994-11-04T00:00:00,Friday,Atlanta Hawks,92,Indiana Pacers,94,12568,,
1994-11-04T00:00:00,Friday,Utah Jazz,119,Miami Heat,108,12568,,
1994-11-04T00:00:00,Friday,San Antonio Spurs,118,Golden State Warriors,123,12568,,
1994-11-04T00:00:00,Friday,Sacramento Kings,107,Phoenix Suns,89,12568,,
1994-11-04T00:00:00,Friday,Philadelphia 76ers,86,Milwaukee Bucks,91,12568,,
1994-11-04T00:00:00,Friday,Los Angeles Clippers,100,Portland Trail Blazers,121,12568,,"at Yokohama, Japan"
1994-11-04T00:00:00,Friday,Washington Bullets,110,Orlando Magic,108,12568,,
1994-11-04T00:00:00,Friday,Detroit Pistons,98,Los Angeles Lakers,115,12568,,
1994-11-04T00:00:00,Friday,Denver Nuggets,130,Minnesota Timberwolves,108,12568,,
1994-11-04T00:00:00,Friday,Chicago Bulls,89,Charlotte Hornets,83,12568,,
1994-11-04T00:00:00,Friday,Boston Celtics,107,New York Knicks,120,12568,,
1994-11-04T00:00:00,Friday,Houston Rockets,90,New Jersey Nets,86,12568,,
1994-11-05T00:00:00,Saturday,Portland Trail Blazers,112,Los Angeles Clippers,95,12568,,"at Yokohama, Japan"
1994-11-05T00:00:00,Saturday,Atlanta Hawks,109,Detroit Pistons,114,12568,OT,
1994-11-05T00:00:00,Saturday,Charlotte Hornets,107,Cleveland Cavaliers,115,12568,,
1994-11-05T00:00:00,Saturday,Chicago Bulls,99,Washington Bullets,100,12568,OT,
1994-11-05T00:00:00,Saturday,Dallas Mavericks,112,New Jersey Nets,103,12568,,
1994-11-05T00:00:00,Saturday,Denver Nuggets,104,Golden State Warriors,108,12568,,
1994-11-05T00:00:00,Saturday,Indiana Pacers,112,Boston Celtics,103,12568,,
1994-11-05T00:00:00,Saturday,Milwaukee Bucks,97,Los Angeles Lakers,96,12568,,
