date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1989-11-03T00:00:00,Friday,Utah Jazz,122,Denver Nuggets,113,15908,,
1989-11-03T00:00:00,Friday,Atlanta Hawks,103,Indiana Pacers,126,15908,,
1989-11-03T00:00:00,Friday,Boston Celtics,127,Milwaukee Bucks,114,15908,,
1989-11-03T00:00:00,Friday,Charlotte Hornets,96,Washington Bullets,116,15908,,
1989-11-03T00:00:00,Friday,Seattle SuperSonics,106,Minnesota Timberwolves,94,15908,,
1989-11-03T00:00:00,Friday,Detroit Pistons,106,New York Knicks,103,15908,,
1989-11-03T00:00:00,Friday,Los Angeles Clippers,102,Houston Rockets,88,15908,,
1989-11-03T00:00:00,Friday,Miami Heat,90,New Jersey Nets,110,15908,,
1989-11-03T00:00:00,Friday,Phoenix Suns,136,Golden State Warriors,106,15908,,
1989-11-03T00:00:00,Friday,Portland Trail Blazers,114,Sacramento Kings,96,15908,,
1989-11-03T00:00:00,Friday,Chicago Bulls,124,Cleveland Cavaliers,119,15908,OT,
1989-11-03T00:00:00,Friday,Dallas Mavericks,94,Los Angeles Lakers,102,15908,,
1989-11-04T00:00:00,Saturday,Washington Bullets,93,Detroit Pistons,95,15908,,
1989-11-04T00:00:00,Saturday,San Antonio Spurs,106,Los Angeles Lakers,98,15908,,
1989-11-04T00:00:00,Saturday,New York Knicks,119,Miami Heat,99,15908,,
1989-11-04T00:00:00,Saturday,Philadelphia 76ers,96,Milwaukee Bucks,102,15908,,
1989-11-04T00:00:00,Saturday,Orlando Magic,106,New Jersey Nets,111,15908,,
1989-11-04T00:00:00,Saturday,Denver Nuggets,135,Phoenix Suns,132,15908,,
1989-11-04T00:00:00,Saturday,Golden State Warriors,105,Houston Rockets,132,15908,,
1989-11-04T00:00:00,Saturday,Indiana Pacers,106,Cleveland Cavaliers,98,15908,,
1989-11-04T00:00:00,Saturday,Sacramento Kings,107,Seattle SuperSonics,100,15908,,
1989-11-04T00:00:00,Saturday,Chicago Bulls,100,Boston Celtics,102,15908,,
1989-11-05T00:00:00,Sunday,Portland Trail Blazers,93,Minnesota Timberwolves,83,15908,,
1989-11-06T00:00:00,Monday,Orlando Magic,118,New York Knicks,110,15908,,
1989-11-07T00:00:00,Tuesday,Golden State Warriors,118,Los Angeles Clippers,94,15908,,
1989-11-07T00:00:00,Tuesday,Atlanta Hawks,114,Washington Bullets,118,15908,,
1989-11-07T00:00:00,Tuesday,Houston Rockets,109,Portland Trail Blazers,86,15908,,
1989-11-07T00:00:00,Tuesday,Los Angeles Lakers,111,Phoenix Suns,107,15908,,
1989-11-07T00:00:00,Tuesday,Milwaukee Bucks,106,Boston Celtics,100,15908,,
1989-11-07T00:00:00,Tuesday,New Jersey Nets,77,Miami Heat,83,15908,,
1989-11-07T00:00:00,Tuesday,Sacramento Kings,96,Dallas Mavericks,94,15908,,
1989-11-07T00:00:00,Tuesday,Seattle SuperSonics,128,Charlotte Hornets,88,15908,,
1989-11-07T00:00:00,Tuesday,Chicago Bulls,117,Detroit Pistons,114,15908,,
1989-11-08T00:00:00,Wednesday,Indiana Pacers,95,Detroit Pistons,74,15908,,
1989-11-08T00:00:00,Wednesday,Denver Nuggets,102,Sacramento Kings,84,15908,,
1989-11-08T00:00:00,Wednesday,Washington Bullets,112,Boston Celtics,103,15908,,
1989-11-08T00:00:00,Wednesday,Cleveland Cavaliers,110,Orlando Magic,117,15908,OT,
1989-11-08T00:00:00,Wednesday,Los Angeles Clippers,99,Dallas Mavericks,123,15908,,
1989-11-08T00:00:00,Wednesday,Minnesota Timberwolves,84,Chicago Bulls,96,15908,,
1989-11-08T00:00:00,Wednesday,Philadelphia 76ers,115,Miami Heat,91,15908,,
1989-11-08T00:00:00,Wednesday,Utah Jazz,102,Charlotte Hornets,86,15908,,
1989-11-08T00:00:00,Wednesday,San Antonio Spurs,104,Portland Trail Blazers,108,15908,,
1989-11-09T00:00:00,Thursday,Houston Rockets,127,Denver Nuggets,128,15908,OT,
1989-11-09T00:00:00,Thursday,Milwaukee Bucks,155,Seattle SuperSonics,154,15908,5OT,
1989-11-09T00:00:00,Thursday,New York Knicks,107,New Jersey Nets,105,15908,,
1989-11-09T00:00:00,Thursday,Golden State Warriors,95,Los Angeles Lakers,106,15908,,
1989-11-10T00:00:00,Friday,Boston Celtics,117,Atlanta Hawks,106,15908,,
1989-11-10T00:00:00,Friday,Washington Bullets,100,Cleveland Cavaliers,92,15908,,"at Baltimore, MD"
1989-11-10T00:00:00,Friday,Indiana Pacers,102,Miami Heat,98,15908,,
1989-11-10T00:00:00,Friday,Minnesota Timberwolves,125,Philadelphia 76ers,118,15908,OT,
1989-11-10T00:00:00,Friday,New Jersey Nets,117,Chicago Bulls,107,15908,,
1989-11-10T00:00:00,Friday,Orlando Magic,121,Detroit Pistons,125,15908,,
1989-11-10T00:00:00,Friday,Phoenix Suns,130,Sacramento Kings,109,15908,,
1989-11-10T00:00:00,Friday,Utah Jazz,106,San Antonio Spurs,92,15908,,
1989-11-10T00:00:00,Friday,Dallas Mavericks,91,Portland Trail Blazers,99,15908,,
1989-11-10T00:00:00,Friday,Los Angeles Lakers,106,Charlotte Hornets,100,15908,,
1989-11-11T00:00:00,Saturday,Golden State Warriors,115,Charlotte Hornets,104,15908,,
1989-11-11T00:00:00,Saturday,Cleveland Cavaliers,104,Boston Celtics,101,15908,,
1989-11-11T00:00:00,Saturday,Atlanta Hawks,148,Orlando Magic,109,15908,,
1989-11-11T00:00:00,Saturday,Miami Heat,88,Detroit Pistons,84,15908,,
1989-11-11T00:00:00,Saturday,Chicago Bulls,109,Seattle SuperSonics,102,15908,,
1989-11-11T00:00:00,Saturday,Houston Rockets,100,Utah Jazz,92,15908,,
1989-11-11T00:00:00,Saturday,San Antonio Spurs,122,Denver Nuggets,108,15908,,
1989-11-11T00:00:00,Saturday,Milwaukee Bucks,96,Philadelphia 76ers,104,15908,,
1989-11-11T00:00:00,Saturday,Los Angeles Clippers,111,New York Knicks,112,15908,,
1989-11-12T00:00:00,Sunday,Los Angeles Lakers,107,Dallas Mavericks,98,15908,,
1989-11-12T00:00:00,Sunday,Minnesota Timberwolves,97,Seattle SuperSonics,108,15908,,
1989-11-12T00:00:00,Sunday,Portland Trail Blazers,95,Washington Bullets,104,15908,,
1989-11-13T00:00:00,Monday,Orlando Magic,104,Atlanta Hawks,112,15908,,
1989-11-13T00:00:00,Monday,Utah Jazz,106,Washington Bullets,93,15908,,
1989-11-14T00:00:00,Tuesday,Miami Heat,101,Houston Rockets,99,15908,,
1989-11-14T00:00:00,Tuesday,Boston Celtics,96,Philadelphia 76ers,94,15908,,"at Hartford, CT"
1989-11-14T00:00:00,Tuesday,Charlotte Hornets,130,Orlando Magic,116,15908,,
1989-11-14T00:00:00,Tuesday,Los Angeles Clippers,129,Denver Nuggets,121,15908,,
1989-11-14T00:00:00,Tuesday,Milwaukee Bucks,108,San Antonio Spurs,97,15908,,
1989-11-14T00:00:00,Tuesday,Minnesota Timberwolves,101,Golden State Warriors,98,15908,,
1989-11-14T00:00:00,Tuesday,New Jersey Nets,92,Cleveland Cavaliers,103,15908,,
1989-11-14T00:00:00,Tuesday,Portland Trail Blazers,118,New York Knicks,117,15908,,
1989-11-14T00:00:00,Tuesday,Sacramento Kings,94,Chicago Bulls,96,15908,,
1989-11-14T00:00:00,Tuesday,Seattle SuperSonics,109,Dallas Mavericks,113,15908,OT,
1989-11-15T00:00:00,Wednesday,Phoenix Suns,109,Portland Trail Blazers,107,15908,,
1989-11-15T00:00:00,Wednesday,Los Angeles Lakers,117,Indiana Pacers,94,15908,,
1989-11-15T00:00:00,Wednesday,Philadelphia 76ers,109,Charlotte Hornets,96,15908,,
1989-11-15T00:00:00,Wednesday,Utah Jazz,108,Chicago Bulls,107,15908,,
1989-11-15T00:00:00,Wednesday,Minnesota Timberwolves,76,San Antonio Spurs,86,15908,,
1989-11-15T00:00:00,Wednesday,Denver Nuggets,109,Washington Bullets,98,15908,,
1989-11-15T00:00:00,Wednesday,Cleveland Cavaliers,129,Golden State Warriors,104,15908,,
1989-11-15T00:00:00,Wednesday,Boston Celtics,126,New Jersey Nets,92,15908,,
1989-11-15T00:00:00,Wednesday,Detroit Pistons,130,Miami Heat,94,15908,,
1989-11-16T00:00:00,Thursday,Houston Rockets,94,Los Angeles Clippers,82,15908,,
1989-11-16T00:00:00,Thursday,Milwaukee Bucks,132,Orlando Magic,113,15908,,
1989-11-16T00:00:00,Thursday,Sacramento Kings,102,New York Knicks,121,15908,,
1989-11-16T00:00:00,Thursday,Seattle SuperSonics,111,Washington Bullets,98,15908,,
